timestamp,InstantPower,InstantProdPower,ElectricPower,PhaseVoltage,LineCurrent,WithdrawnActiveEnergyReading,FeedInActiveEnergyReading,ProducedActiveEnergyReading
2025-12-12T09:41:13Z,-1290.0,,,,,,,
2025-12-12T09:40:58Z,-618.0,,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:41:17Z,,,55.0,219.0,0.4904,,,
2025-12-12T09:39:20Z,,,0.0,231.0,0.0,,,
2025-12-12T09:39:37Z,,,0.0,234.0,0.0,,,
2025-12-12T09:41:24Z,-1008.0,,,,,,,
2025-12-12T09:41:09Z,-845.0,,,,,,,
2025-12-12T09:41:24Z,,1453.0,,,,,,
2025-12-12T09:41:27Z,,2694.0,,,,,,
2025-12-12T09:41:25Z,-1290.0,,,,,,,
2025-12-12T09:41:28Z,,2728.0,,,,,,
2025-12-12T09:39:20Z,,,0.0,231.0,0.0,,,
2025-12-12T09:39:37Z,,,0.0,234.0,0.0,,,
2025-12-12T09:41:29Z,-1225.0,,,,,,,
2025-12-12T09:41:30Z,-1018.0,,,,,,,
2025-12-12T09:41:31Z,-1308.0,,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:41:37Z,,,54.0,220.0,0.4834,,,
2025-12-12T09:41:41Z,,1510.0,,,,,,
2025-12-12T09:41:32Z,-871.0,,,,,,,
2025-12-12T09:39:20Z,,,0.0,231.0,0.0,,,
2025-12-12T09:39:37Z,,,0.0,234.0,0.0,,,
2025-12-12T09:41:38Z,-653.0,,,,,,,
2025-12-12T09:41:55Z,,1476.0,,,,,,
2025-12-12T09:39:20Z,,,0.0,231.0,0.0,,,
2025-12-12T09:39:37Z,,,0.0,234.0,0.0,,,
2025-12-12T09:41:26Z,-962.0,,,,,,,
2025-12-12T09:42:10Z,-1188.0,,,,,,,
2025-12-12T09:42:10Z,,1484.0,,,,,,
2025-12-12T09:42:11Z,-1326.0,,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:42:12Z,,,60.0,220.0,0.4917,,,
2025-12-12T09:42:16Z,-955.0,,,,,,,
2025-12-12T09:42:17Z,-1251.0,,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:42:22Z,,,60.0,220.0,0.4887,,,
2025-12-12T09:42:48Z,-1158.0,,,,,,,
2025-12-12T09:42:49Z,-1262.0,,,,,,,
2025-12-12T09:42:35Z,-596.0,,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:42:46Z,,,55.0,220.0,0.4537,,,
2025-12-12T09:42:37Z,-612.0,,,,,,,
2025-12-12T09:42:40Z,-601.0,,,,,,,
2025-12-12T09:42:55Z,,1508.0,,,,,,
2025-12-12T09:42:04Z,,,0.0,233.0,0.0,,,
2025-12-12T09:42:21Z,,,0.0,234.0,0.0,,,
2025-12-12T09:42:47Z,-663.0,,,,,,,
2025-12-12T09:43:03Z,,1464.0,,,,,,
2025-12-12T09:42:48Z,-562.0,,,,,,,
2025-12-12T09:42:57Z,-1209.0,,,,,,,
2025-12-12T09:42:04Z,,,0.0,233.0,0.0,,,
2025-12-12T09:42:21Z,,,0.0,234.0,0.0,,,
2025-12-12T09:42:56Z,-887.0,,,,,,,
2025-12-12T09:42:04Z,,,0.0,233.0,0.0,,,
2025-12-12T09:42:21Z,,,0.0,234.0,0.0,,,
2025-12-12T09:43:01Z,-910.0,,,,,,,
2025-12-12T09:43:17Z,,1535.0,,,,,,
2025-12-12T09:43:10Z,-1135.0,,,,,,,
2025-12-12T09:42:04Z,,,0.0,233.0,0.0,,,
2025-12-12T09:42:21Z,,,0.0,234.0,0.0,,,
2025-12-12T09:43:14Z,-625.0,,,,,,,
2025-12-12T09:42:04Z,,,0.0,233.0,0.0,,,
2025-12-12T09:42:21Z,,,0.0,234.0,0.0,,,
2025-12-12T09:43:25Z,-884.0,,,,,,,
2025-12-12T09:43:34Z,-989.0,,,,,,,
2025-12-12T09:43:35Z,-1272.0,,,,,,,
2025-12-12T09:43:35Z,,1214.0,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:43:36Z,,,59.0,222.0,0.4653,,,
2025-12-12T09:43:30Z,-584.0,,,,,,,
2025-12-12T09:43:40Z,-982.0,,,,,,,
2025-12-12T09:43:38Z,,908.0,,,,,,
2025-12-12T09:43:41Z,-1271.0,,,,,,,
2025-12-12T09:43:39Z,,860.0,,,,,,
2025-12-12T09:43:33Z,-654.0,,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:43:41Z,,,55.0,220.0,0.4736,,,
2025-12-12T09:43:45Z,,1163.0,,,,,,
2025-12-12T09:43:38Z,-900.0,,,,,,,
2025-12-12T09:43:40Z,-793.0,,,,,,,
2025-12-12T09:43:48Z,,1115.0,,,,,,
2025-12-12T09:43:47Z,-959.0,,,,,,,
2025-12-12T09:43:55Z,,1311.0,,,,,,
2025-12-12T09:43:58Z,,1475.0,,,,,,
2025-12-12T09:43:50Z,-602.0,,,,,,,
2025-12-12T09:43:51Z,-585.0,,,,,,,
2025-12-12T09:43:52Z,-611.0,,,,,,,
2025-12-12T09:42:04Z,,,0.0,233.0,0.0,,,
2025-12-12T09:42:21Z,,,0.0,234.0,0.0,,,
2025-12-12T09:44:13Z,-934.0,,,,,,,
2025-12-12T09:44:14Z,-1214.0,,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:44:11Z,,,53.0,220.0,0.459,,,
2025-12-12T09:44:19Z,-944.0,,,,,,,
2025-12-12T09:44:20Z,-1218.0,,,,,,,
2025-12-12T09:44:21Z,,1442.0,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:44:21Z,,,56.0,220.0,0.4729,,,
2025-12-12T09:44:15Z,-775.0,,,,,,,
2025-12-12T09:44:16Z,-917.0,,,,,,,
2025-12-12T09:44:32Z,,,0.0,233.0,0.0,,,
2025-12-12T09:42:21Z,,,0.0,234.0,0.0,,,
2025-12-12T09:44:22Z,-876.0,,,,,,,
2025-12-12T09:44:28Z,-948.0,,,,,,,
2025-12-12T09:44:38Z,,1199.0,,,,,,
2025-12-12T09:44:30Z,-868.0,,,,,,,
2025-12-12T09:44:32Z,,,0.0,233.0,0.0,,,
2025-12-12T09:42:21Z,,,0.0,234.0,0.0,,,
2025-12-12T09:44:40Z,,1285.0,,,,,,
2025-12-12T09:44:26Z,-937.0,,,,,,,
2025-12-12T09:44:35Z,-851.0,,,,,,,
2025-12-12T09:44:32Z,,,0.0,233.0,0.0,,,
2025-12-12T09:42:21Z,,,0.0,234.0,0.0,,,
2025-12-12T09:44:37Z,-738.0,,,,,,,
2025-12-12T09:44:31Z,-913.0,,,,,,,
2025-12-12T09:44:39Z,-607.0,,,,,,,
2025-12-12T09:44:45Z,,1074.0,,,,,,
2025-12-12T09:44:32Z,,,0.0,233.0,0.0,,,
2025-12-12T09:42:21Z,,,0.0,234.0,0.0,,,
2025-12-12T09:44:42Z,-812.0,,,,,,,
2025-12-12T09:44:52Z,,1246.0,,,,,,
2025-12-12T09:44:36Z,-879.0,,,,,,,
2025-12-12T09:44:38Z,-872.0,,,,,,,
2025-12-12T09:44:32Z,,,0.0,233.0,0.0,,,
2025-12-12T09:42:21Z,,,0.0,234.0,0.0,,,
2025-12-12T09:45:00Z,1523.0,,,,,53120211.0,6481041.0,
2025-12-12T09:44:52Z,-1153.0,,,,,,,
2025-12-12T09:45:00Z,,1627.0,,,,,,13613668.0
2025-12-12T09:43:48Z,,,1.0,223.0,0.0,,,
2025-12-12T09:44:01Z,,,0.0,222.0,0.0,,,
2025-12-12T09:45:00Z,,2962.0,,,,,,20129839.0
2025-12-12T09:45:00Z,,764.0,,,,,,3500982.0
2025-12-12T09:45:03Z,,1490.0,,,,,,
2025-12-12T09:45:05Z,-1053.0,,,,,,,
2025-12-12T09:45:00Z,,1421.0,,,,,,28468691.0
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:45:06Z,,,56.0,218.0,0.5098,,,
2025-12-12T09:45:00Z,-1340.0,,,,,12201117.0,14546498.0,
