0;0;0;0;0;0;0;1.324;0.176;0.568;1.26;0.984;0.492;0.616
0;0;0;0;0;0;0;0.336;0.212;0.248;0.284;0.432;0.392;0.384
0;0;0;0;0;0;0;0.424;0.464;0.232;0.332;0.424;0.44;0.372
0;0;0;0;0;0;0;0.376;0.152;0.196;0.304;0.436;0.452;0.376
0;0;0;0;0;0;0;0.38;0.228;0.2;0.56;0.26;1.508;0.368
0;0;0;0;0;0;0;0.416;0.06;0.2;0.432;0.396;1.192;0.368
0;0;0;0;0;0;0;0.352;0.084;0.2;0.324;0.464;1.64;0.372
0;0;0;0;0;0;0;0.328;0.136;0.196;0.268;0.296;0.616;0.42
0;0;0;0;0;0;0;0.128;0.064;0.196;0.164;0.432;0.328;0.452
0;0;0;0;0;0;0;0.532;0.068;0.152;0.132;0.328;0.324;0.36
0;0;0;0;0;0;0;0.412;0.148;0.156;0.152;0.228;0.32;0.348
0;0;0;0;0;0;0;0.128;0.068;0.192;0.164;0.456;0.348;0.344
0;0;0;0;0;0;0;0.144;0.06;0.2;0.14;0.304;0.444;0.348
0;0;0;0;0;0;0;0.172;0.144;0.232;0.144;0.256;0.38;0.344
0;0;0;0;0;0;0;0.076;0.076;0.26;0.248;0.364;0.28;0.348
0;0;0;0;0;0;0;0.124;0.056;0.26;0.2;0.108;0.288;0.252
0;0;0;0;0;0;0;0.108;0.144;0.216;0.196;0.22;0.288;0.276
0;0;0;0;0;0;0;0.072;0.08;0.2;0.256;0.284;0.3;0.272
0;0;0;0;0;0;0;0.368;0.052;0.2;0.184;0.056;0.324;0.208
0;0;0;0;0;0;0;0.08;0.16;0.196;0.136;0.304;0.256;0.188
0;0;0;0;0;0;0;0.068;0.084;0.204;0.176;0.304;0.276;0.184
0;0;0;0;0;0;0;0.112;0.048;0.208;0.124;0.104;0.26;0.148
0;0;0;0;0;0;0;0.064;0.144;0.208;0.116;0.28;0.268;0.148
0;0;0;0;0;0;0;0.08;0.084;0.168;0.16;0.16;0.176;0.144
0;0;0;0;0;0;0;0.112;0.044;0.156;0.124;0.084;0.248;0.152
0;0;0;0;0;0;0;0.052;0.148;0.156;0.16;0.296;0.276;0.232
0;0;0;0;0;0;0;0.088;0.088;0.156;0.212;0.148;0.36;0.244
0;0;0;0;0;0;0;0.112;0.064;0.152;0.232;0.22;0.264;0.144
0;0;0;0;0;0;0;0.044;0.148;0.156;0.192;0.384;0.204;0.148
0;0;0;0;0;0;0;0.096;0.1;0.156;0.184;0.072;0.184;0.152
0;0;0;0;0;0;0;0.104;0.056;0.152;0.22;0.172;0.14;0.144
0;0;0;0;0;0;0;0.044;0.132;0.156;0.116;0.264;0.152;0.144
0;0;0;0;0;0;0;0.1;0.092;0.156;0.108;0.064;0.136;0.124
0;0;0;0;0;0;0;0.1;0.052;0.156;0.164;0.212;0.192;0.044
0;0;0;0;0;0;0;0.04;0.12;0.176;0.132;0.48;0.34;0.072
0;0;0;0;0;0;0;0.108;0.096;0.216;0.108;1.34;0.096;0.24
0;0;0;0;0;0;0;0.092;0.056;0.244;0.124;0.956;0.24;0.244
0;0;0;0;0;0;0;0.044;0.108;0.204;0.24;0.296;0.656;0.152
0;0;0;0;0;0;0;0.104;0.104;0.156;0.184;0.056;0.672;0.144
0;0;0;0;0;0;0;0.092;0.056;0.156;0.196;0.288;0.68;0.144
0;0;0;0;0;0;0;0.048;0.096;0.164;0.268;0.148;0.684;0.12
0;0;0;0;0;0;0;0.14;0.12;0.16;0.308;0.068;0.644;0.052
0;0;0;0;0;0;0;0.188;0.056;0.152;0.572;0.748;0.648;0.076
0.004;0.001;0.001;0.004;0.001;0.001;0.004;0.252;0.076;0.244;1.044;0.428;0.724;0.268
0.04;0.045;0.015;0.04;0.045;0.015;0.04;0.288;0.136;0.768;0.344;0.416;0.612;0.236
0.102;0.168;0.032;0.102;0.168;0.032;0.102;0.332;0.296;0.244;0.24;1.688;0.188;0.236
0.299;0.379;0.051;0.299;0.379;0.051;0.299;0.292;0.572;1.292;0.26;0.58;0.476;0.152
0.492;0.835;0.064;0.492;0.835;0.064;0.492;0.3;0.208;2.148;0.288;0.5;0.148;0.092
0.841;1.072;0.081;0.841;1.072;0.081;0.841;0.336;0.896;0.996;0.188;0.276;0.108;0.048
1.552;1.267;0.098;1.552;1.267;0.098;1.552;0.28;0.56;0.212;0.32;0.1;0.112;0.1
